order_id,amount
1,5
2,6
3,7
4,8
5,9
6,10
7,11
8,12
9,13
10,14
11,15
12,16
13,17
14,18
15,19
16,20
17,21
18,22
19,23
20,24
21,25
22,26
23,27
24,28
25,29
26,30
27,31
28,32
29,33
30,34
31,35
32,36
33,37
34,38
35,39
36,40
37,41
38,42
39,43
40,44
41,45
42,46
43,47
44,48
45,49
46,50
47,51
48,52
49,53
50,54
51,5
52,6
53,7
54,8
55,9
56,10
57,11
58,12
59,13
60,14
61,15
62,16
63,17
64,18
65,19
66,20
67,21
68,22
69,23
70,24
71,25
72,26
73,27
74,28
75,29
76,30
77,31
78,32
79,33
80,34
81,35
82,36
83,37
84,38
85,39
86,40
87,41
88,42
89,43
90,44
91,45
92,46
93,47
94,48
95,49
96,50
97,51
98,52
99,53
100,54
101,5
102,6
103,7
104,8
105,9
106,10
107,11
108,12
109,13
110,14
111,15
112,16
113,17
114,18
115,19
116,20
117,21
118,22
119,23
120,24
121,25
122,26
123,27
124,28
125,29
126,30
127,31
128,32
129,33
130,34
131,35
132,36
133,37
134,38
135,39
136,40
137,41
138,42
139,43
140,44
141,45
142,46
143,47
144,48
145,49
146,50
147,51
148,52
149,53
150,54
151,5
152,6
153,7
154,8
155,9
156,10
157,11
158,12
159,13
160,14
161,15
162,16
163,17
164,18
165,19
166,20
167,21
168,22
169,23
170,24
171,25
172,26
173,27
174,28
175,29
176,30
177,31
178,32
179,33
180,34
181,35
182,36
183,37
184,38
185,39
186,40
187,41
188,42
189,43
190,44
191,45
192,46
193,47
194,48
195,49
196,50
197,51
198,52
199,53
200,54
201,5
202,6
203,7
204,8
205,9
206,10
207,11
208,12
209,13
210,14
211,15
212,16
213,17
214,18
215,19
216,20
217,21
218,22
219,23
220,24
221,25
222,26
223,27
224,28
225,29
226,30
227,31
228,32
229,33
230,34
231,35
232,36
233,37
234,38
235,39
236,40
237,41
238,42
239,43
240,44
241,45
242,46
243,47
244,48
245,49
246,50
247,51
248,52
249,53
250,54
251,5
252,6
253,7
254,8
255,9
256,10
257,11
258,12
259,13
260,14
261,15
262,16
263,17
264,18
265,19
266,20
267,21
268,22
269,23
270,24
271,25
272,26
273,27
274,28
275,29
276,30
277,31
278,32
279,33
280,34
281,35
282,36
283,37
284,38
285,39
286,40
287,41
288,42
289,43
290,44
291,45
292,46
293,47
294,48
295,49
296,50
297,51
298,52
299,53
300,54
301,5
302,6
303,7
304,8
305,9
306,10
307,11
308,12
309,13
310,14
311,15
312,16
313,17
314,18
315,19
316,20
317,21
318,22
319,23
320,24
321,25
322,26
323,27
324,28
325,29
326,30
327,31
328,32
329,33
330,34
331,35
332,36
333,37
334,38
335,39
336,40
337,41
338,42
339,43
340,44
341,45
342,46
343,47
344,48
345,49
346,50
347,51
348,52
349,53
350,54
351,5
352,6
353,7
354,8
355,9
356,10
357,11
358,12
359,13
360,14
361,15
362,16
363,17
364,18
365,19
366,20
367,21
368,22
369,23
370,24
371,25
372,26
373,27
374,28
375,29
376,30
377,31
378,32
379,33
380,34
381,35
382,36
383,37
384,38
385,39
386,40
387,41
388,42
389,43
390,44
391,45
392,46
393,47
394,48
395,49
396,50
397,51
398,52
399,53
400,54
401,5
402,6
403,7
404,8
405,9
406,10
407,11
408,12
409,13
410,14
411,15
412,16
413,17
414,18
415,19
416,20
417,21
418,22
419,23
420,24
421,25
422,26
423,27
424,28
425,29
426,30
427,31
428,32
429,33
430,34
431,35
432,36
433,37
434,38
435,39
436,40
437,41
438,42
439,43
440,44
441,45
442,46
443,47
444,48
